datetime,temp_heated,temp_out,temp_low,temp_high,moist_F,moist_V,moist_E,moist_true
2024-10-19 15:15:10.008000+03:00,,,,,163.70,155.15,178.75,
2024-10-19 15:15:11+03:00,65.90,12.40,27.40,11.30,,,,
2024-10-19 15:15:13+03:00,65.70,13.00,27.00,11.10,,,,
2024-10-19 15:15:13.393000+03:00,,,,,164.15,155.15,178.70,
2024-10-19 15:15:14+03:00,65.80,12.90,27.20,11.10,,,,
2024-10-19 15:15:15.083000+03:00,,,,,163.75,155.15,178.95,
2024-10-19 15:15:16+03:00,65.90,12.90,28.00,10.70,,,,
2024-10-19 15:15:16.755000+03:00,,,,,162.60,153.90,177.20,
2024-10-19 15:15:18+03:00,66.10,12.60,27.20,11.10,,,,
2024-10-19 15:15:18.478000+03:00,,,,,162.25,154.20,178.15,
2024-10-19 15:15:20+03:00,65.90,12.60,27.10,11.40,,,,
2024-10-19 15:15:20.189000+03:00,,,,,163.45,154.50,177.85,
2024-10-19 15:15:21+03:00,66.40,12.60,27.40,10.90,,,,
2024-10-19 15:15:21.903000+03:00,,,,,162.30,153.90,177.70,
2024-10-19 15:15:23+03:00,66.00,12.40,27.20,10.80,,,,
2024-10-19 15:15:23.583000+03:00,,,,,162.65,154.20,177.90,
2024-10-19 15:15:25+03:00,66.00,12.90,27.70,11.10,,,,
2024-10-19 15:15:25.283000+03:00,,,,,162.40,153.90,177.20,
2024-10-19 15:15:26+03:00,66.10,12.80,27.90,11.20,,,,
2024-10-19 15:15:26.968000+03:00,,,,,162.65,153.60,176.90,
2024-10-19 15:15:28+03:00,66.80,12.90,27.20,11.40,,,,
2024-10-19 15:15:28.658000+03:00,,,,,162.80,153.90,177.20,
2024-10-19 15:15:30+03:00,66.60,12.80,27.40,10.70,,,,
2024-10-19 15:15:30.368000+03:00,,,,,160.90,152.95,177.00,
2024-10-19 15:15:31+03:00,66.10,12.80,26.90,11.60,,,,
2024-10-19 15:15:32.063000+03:00,,,,,163.30,154.20,177.25,
2024-10-19 15:15:33+03:00,66.10,12.90,27.60,11.20,,,,
2024-10-19 15:15:33.768000+03:00,,,,,162.60,154.20,177.70,
2024-10-19 15:15:35+03:00,66.40,12.80,27.90,11.30,,,,
2024-10-19 15:15:35.438000+03:00,,,,,161.45,153.60,177.30,
2024-10-19 15:15:37+03:00,65.70,12.70,27.90,11.00,,,,
2024-10-19 15:15:37.168000+03:00,,,,,162.85,153.90,177.30,
2024-10-19 15:15:38+03:00,70.20,13.10,28.40,11.20,,,,
2024-10-19 15:15:38.848000+03:00,,,,,160.95,153.30,177.55,
2024-10-19 15:15:40+03:00,66.00,12.90,27.40,11.00,,,,
2024-10-19 15:15:40.548000+03:00,,,,,161.40,153.30,176.80,
2024-10-19 15:15:42+03:00,65.80,12.70,27.70,11.00,,,,
2024-10-19 15:15:42.223000+03:00,,,,,162.25,153.90,177.30,
2024-10-19 15:15:43+03:00,65.90,12.70,27.80,10.80,,,,
2024-10-19 15:15:43.903000+03:00,,,,,159.95,152.35,175.90,
2024-10-19 15:15:45+03:00,65.90,13.20,28.20,10.90,,,,
2024-10-19 15:15:45.558000+03:00,,,,,160.70,152.65,176.25,
2024-10-19 15:15:47+03:00,66.10,12.80,28.20,16.50,,,,
2024-10-19 15:15:47.248000+03:00,,,,,162.00,153.60,176.85,
2024-10-19 15:15:48+03:00,68.00,13.50,28.70,10.70,,,,
2024-10-19 15:15:48.958000+03:00,,,,,161.90,153.30,176.30,
2024-10-19 15:15:50+03:00,65.40,13.00,28.10,10.50,,,,
2024-10-19 15:15:50.618000+03:00,,,,,160.15,152.65,176.45,
2024-10-19 15:15:52+03:00,65.30,12.90,27.70,10.80,,,,
2024-10-19 15:15:52.328000+03:00,,,,,160.70,152.65,175.95,
2024-10-19 15:15:53+03:00,65.90,13.20,28.10,10.80,,,,
2024-10-19 15:15:54.048000+03:00,,,,,161.10,152.65,175.60,
2024-10-19 15:15:55+03:00,65.50,13.20,27.90,11.00,,,,
2024-10-19 15:15:55.763000+03:00,,,,,159.55,152.05,175.70,
2024-10-19 15:15:57+03:00,65.20,12.50,28.20,11.10,,,,
2024-10-19 15:15:57.463000+03:00,,,,,159.20,152.05,175.85,
2024-10-19 15:15:59+03:00,65.90,13.30,28.10,11.10,,,,
2024-10-19 15:15:59.123000+03:00,,,,,159.55,151.75,175.20,
2024-10-19 15:16:00+03:00,66.10,13.70,27.70,11.00,,,,
2024-10-19 15:16:00.813000+03:00,,,,,159.60,152.05,175.65,
2024-10-19 15:16:02+03:00,66.10,13.10,27.90,10.80,,,,
2024-10-19 15:16:02.523000+03:00,,,,,160.75,151.75,174.50,
2024-10-19 15:16:04+03:00,65.80,12.80,28.00,11.00,,,,
2024-10-19 15:16:04.218000+03:00,,,,,159.60,152.05,175.90,
2024-10-19 15:16:05+03:00,65.70,13.20,28.00,10.90,,,,
2024-10-19 15:16:05.893000+03:00,,,,,160.70,152.35,175.45,
2024-10-19 15:16:07+03:00,66.00,13.40,28.70,10.70,,,,
2024-10-19 15:16:07.578000+03:00,,,,,160.10,151.75,174.55,
2024-10-19 15:16:09+03:00,65.60,13.10,28.10,10.80,,,,
2024-10-19 15:16:09.298000+03:00,,,,,158.80,151.10,174.50,
2024-10-19 15:16:10+03:00,65.80,13.10,28.10,10.80,,,,
2024-10-19 15:16:10.968000+03:00,,,,,160.20,151.45,174.00,
2024-10-19 15:16:12+03:00,65.80,13.10,27.90,11.00,,,,
2024-10-19 15:16:12.683000+03:00,,,,,158.50,150.80,173.75,
2024-10-19 15:16:14+03:00,66.30,14.80,27.90,11.10,,,,
2024-10-19 15:16:14.358000+03:00,,,,,158.80,150.80,173.55,
2024-10-19 15:16:15+03:00,65.70,13.10,28.50,12.70,,,,
2024-10-19 15:16:16.068000+03:00,,,,,158.40,150.50,173.60,
2024-10-19 15:16:17+03:00,65.80,13.40,28.10,11.30,,,,
2024-10-19 15:16:17.753000+03:00,,,,,159.45,151.10,173.65,
2024-10-19 15:16:19+03:00,66.10,13.50,28.10,10.50,,,,
2024-10-19 15:16:19.463000+03:00,,,,,159.50,151.10,173.75,
2024-10-19 15:16:21+03:00,66.20,13.30,29.00,10.70,,,,
